Scan_Group,Point_0,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99,Bean Name
Scan_1,-5555.86,-16311.96,-16445.98,-7039.76,-2732.7,-3365,-11735.54,-2845.04,-28021.44,-33414.34,-24538.5,-20229.38,-28674.08,-33881.04,-22738.4,-14384.84,-19770.66,-18077.8,-22403.48,-26488.02,-32971.66,-32873.44,-25985.06,-25009.8,-28053.88,-32272.42,-33048.34,-27853.96,-24915.98,-25496.7,-3685.94,-15435.92,-1145.88,4070.44,4778.02,8808.6,6762.14,8455.88,5407.86,2777.48,946.68,-2933.16,-3529.54,-7346.42,-9605.96,-13284.64,-18570.14,-14855.66,-14712.08,-16200.14,-33706.1,-33338.68,-32899.04,-32483.72,-32126.54,-32087.64,-29747.62,-31661.64,-24819.76,-30018.22,-31863.66,-31899.84,-31824.48,-29165.64,-31801.54,-31765.56,-31738.02,-31798.82,-31735.06,-31848.26,-31342.98,-28621.12,-32535.18,-32734.86,-25947.12,-21895.6,-31424.94,-33225.32,-33136.52,-33139.18,-33090.76,-32999.4,-32842,-32662.82,-29829.66,-30247.76,-27745.32,-29335.64,-26807.16,-26667.22,-26025.2,-25039.42,-24163.96,-22152.54,-19381.36,-17023.9,-14776.5,-16213.2,-16916.06,-18302.32,Yemen
Scan_2,-6342.16,-17282.9,-17238.12,-7825.92,-3263.52,-3699.9,-11919.96,-2873.92,-27879.96,-33011.32,-24066.22,-19734.82,-28111.18,-33188.3,-21896.12,-13600.06,-18996.16,-17200.72,-21787.88,-25931.22,-32646.94,-32463.86,-25588.48,-24640.38,-27690.3,-31914.42,-32666.64,-27480.64,-24557.36,-25170.46,-3387.86,-15154.78,-892.04,4274.68,4946.92,8950.52,6878.28,8549.44,5517.02,2878.8,1056.9,-2815.98,-3415.8,-7213.34,-9426.9,-13114.42,-18387.08,-14707.9,-14573.72,-16086.28,-30093.08,-30259.56,-30258.08,-30380.26,-30037.52,-30236.48,-28062.22,-30109.94,-23436,-28839.44,-30942.42,-30960.04,-31129.72,-28420.62,-31191.78,-31268.66,-31314.38,-31372.92,-31458.94,-31670.56,-31270,-28571.48,-32514.86,-32710.36,-26001.06,-21943.16,-31521.18,-33336.24,-33263.76,-33235.46,-33164.78,-33067.76,-32961.82,-32774.84,-29907.92,-30322.76,-27769.3,-29321.78,-26748.94,-26576.68,-25917.88,-24946.38,-24046.74,-22048.32,-19260.58,-16937.94,-14712.88,-16169.4,-16906.52,-18305.88,Yemen
Scan_3,-5392.56,-16375.3,-16205.32,-7120.8,-2807.94,-3502.54,-11884.8,-3015.22,-28332.56,-33683.7,-24982.9,-20563.98,-29003.66,-34099.54,-22831.26,-14653.56,-19822.98,-17999.84,-22413.64,-26715.42,-33386.6,-33170.28,-26299.44,-25257.3,-28263.76,-32422.7,-33181.68,-27911.3,-24922.56,-25452.16,-3615.12,-15339.46,-1015.9,4230.74,4945.64,8951.54,6914.2,8574.54,5542.8,2864.86,1041.86,-2845.32,-3463.9,-7269.9,-9487.44,-13174.78,-18438.78,-14763.68,-14608.96,-16111.16,-31042.06,-31152.12,-30607.78,-31005.68,-30799.14,-31007.76,-28810.68,-30810.9,-24116.76,-29298.86,-31221.84,-31236.56,-31156.44,-28513.42,-31065.84,-31289.12,-31139.94,-31196.18,-31324.64,-31624.64,-31202.92,-28456.58,-32379.5,-32615.84,-25807.84,-21770,-31243.06,-33090.9,-32988.86,-32962.78,-32869.68,-32753.28,-32665.1,-32521.8,-29703.76,-30112.96,-27608.88,-29199.88,-26664.36,-26510.34,-25878.36,-24907.48,-24027.4,-22001.9,-19220.3,-16888.82,-14665.36,-16118.16,-16847.48,-18254.44,Yemen
Scan_4,-6319.2,-17185.02,-17171,-7782.68,-3552.78,-4108.18,-12420.54,-3275.32,-28585.12,-33926.94,-24919.02,-20377.8,-28957.08,-33782.12,-22506.5,-14211.16,-19537.58,-17598.5,-22027.22,-26233.16,-32731.62,-32669.82,-25905.7,-24992.14,-28070.7,-32387.2,-33237.26,-28075.48,-25147.22,-25720,-3873.18,-15559.08,-1248.98,4057.68,4867.76,8852.52,6774.06,8483.4,5448.02,2749.58,906.52,-2927.08,-3545.86,-7340.1,-9527.9,-13194.4,-18418.14,-14750.12,-14572.54,-16064.12,-31856.74,-31725.9,-31338.52,-31298.1,-31209.36,-31274.54,-29055.04,-30796.7,-24220.7,-29415.8,-31283.1,-31275.32,-31495.08,-28644.94,-31375.88,-31566.66,-31628.78,-31618.02,-31745.34,-31985.88,-31605.88,-28920.7,-32823.64,-33028.74,-26202.08,-22085.32,-31475.76,-33192.36,-33042.72,-32888.26,-32735.78,-32443.72,-32390.74,-32244.16,-29371.4,-29787.12,-27361.84,-28924.98,-26428.12,-26301.98,-25673.06,-24718.42,-23854.64,-21846.22,-19110.26,-16767.94,-14549.72,-16013.94,-16762.34,-18173.76,Yemen
Scan_5,-3970.78,-14788.78,-15129.32,-5693.76,-1619.72,-2386.86,-10934.92,-2225.22,-27688.48,-33329.78,-24549.36,-20383.54,-28922.7,-34194.9,-22955.84,-14677.16,-19945.74,-18237.18,-22623.66,-26788.36,-33304.36,-33187.96,-26405.36,-25426.96,-28460.86,-32692.58,-33421.7,-28170.76,-25147.78,-25661.52,-3795.84,-15510.82,-1151.62,4050.02,4826.64,8765.62,6648.4,8269.28,5308.02,2603.74,800.26,-3134.38,-3777.44,-7576.46,-9746.16,-13403.64,-18578.66,-14941.88,-14753.56,-16202.96,-32023.94,-32033.68,-32087.88,-32237.48,-32350.6,-32528.58,-30355.06,-32390.44,-25597.28,-30878.86,-32558.42,-32551.44,-32496.4,-29781.74,-32024.3,-32058.32,-31842.82,-31922.26,-31970.58,-32100.44,-31517.7,-28742.18,-32553.32,-32767.42,-25850.74,-21690.24,-31044.54,-32779.72,-32595.86,-32542.9,-32444.56,-32384.54,-32212.28,-32187.48,-29325.88,-29723.72,-27299.1,-28826.16,-26271.32,-26115.1,-25452.62,-24468.5,-23570.6,-21577.48,-18842.58,-16523.24,-14309.32,-15778.38,-16562.86,-17975.4,Yemen
Scan_6,-5097.76,-15902.76,-15913.78,-6555.16,-2254.92,-2976.18,-11382.22,-2404.98,-27788.2,-33257.06,-24526.62,-20212.6,-28692.94,-34020.74,-22850.7,-14620.56,-19966.6,-18237.5,-22570.76,-26682.2,-33277.78,-33118.34,-26241.28,-25160.72,-28144.98,-32356.28,-33149.56,-27889.72,-24939.28,-25455.76,-3608.76,-15348.62,-1017.4,4278.7,5008.76,9049.54,7071.74,8658.06,5668.88,2973.9,1147.68,-2762.5,-3386.02,-7221.8,-9454.02,-13145.44,-18407.38,-14727.98,-14561.58,-16068.56,-32187.24,-31937.92,-31503.18,-31662.06,-31506.44,-31743.92,-29587.44,-31537.92,-24901.6,-30197.52,-32202.58,-32157.96,-32050.74,-29552.66,-32037.22,-32139.58,-31997.78,-32031.96,-31986.14,-32115.2,-31665.48,-28937.46,-32801.32,-33041.72,-26202.72,-22117.92,-31553.48,-33346.24,-33186.9,-33154.9,-33039.02,-32763.42,-32651.4,-32447.32,-29604.78,-29964.94,-27444.24,-29057,-26531.82,-26387.52,-25783.5,-24827.12,-23996.04,-22006.5,-19214.94,-16868.1,-14646.34,-16097.2,-16827.38,-18239.56,Yemen
Scan_7,-2066.88,-13161.4,-13934.72,-4632.94,-809.12,-1752.68,-10522.06,-2008.04,-27597.44,-33367.64,-24698.28,-20489.96,-29013.88,-34127.76,-22891.5,-14493.16,-19620.86,-17584.14,-21860.34,-26008.9,-32589.68,-32483.2,-25495.46,-24533.42,-27590.48,-31809.68,-32600.22,-27364.12,-24450.56,-25053.14,-3285,-15064.76,-827.46,4330.2,4985.08,8905.48,6794.88,8398.98,5309.06,2624.74,788.86,-3066.4,-3676.26,-7454.36,-9647.08,-13311.28,-18509.2,-14839.88,-14650.52,-16142.94,-32286.46,-32321.96,-32362.82,-32413.56,-32526.28,-32575.42,-30260.08,-32186.34,-25288.54,-30372.92,-31950.94,-31766.26,-31498.84,-28639.86,-31131.06,-31118.9,-30962.1,-30947.36,-31016.9,-31278.18,-30929.18,-28261.3,-32303.92,-32499.12,-25772.68,-21715.06,-31291.68,-33034.04,-32966.94,-32930.46,-32847.8,-32772.62,-32643.72,-32548.3,-29673.24,-30082.42,-27566.12,-29118.96,-26566.56,-26388.08,-25710.5,-24697.82,-23792.4,-21781.7,-19040.56,-16706.76,-14499.36,-15966.54,-16732.3,-18157.72,Yemen
Scan_8,-5086.76,-15666.76,-16014.86,-6583.54,-2331.78,-3008.78,-11335.76,-2372.02,-27553,-33005.06,-24051,-19673.68,-28143.16,-33445.04,-22166.92,-13939.72,-19276.9,-17598.04,-21990.54,-26156.54,-32695.62,-32608.16,-25817.96,-24884.14,-27941.84,-32164.4,-32953.4,-27760.08,-24796.46,-25296.3,-3541.94,-15305.6,-1009.86,4217.58,4931.06,8972.44,6922.62,8569.2,5554.38,2872.3,1037.16,-2879.84,-3501,-7320.44,-9551.84,-13244.66,-18490.82,-14838.08,-14660.32,-16155.58,-35425.68,-34822.12,-33911.16,-33165.56,-32551.62,-32443.6,-29773.62,-31556.36,-24679.98,-29962.52,-31820.92,-31757.9,-31736.32,-29084.42,-31672.72,-31751.52,-31707.32,-31787.92,-31826,-31995.44,-31549.94,-28827.96,-32749.12,-32881.2,-26058.48,-21966.86,-31474.6,-33238.38,-33132.18,-33218.06,-33069.26,-32923.1,-32774.74,-32643.68,-29749.78,-30119.14,-27609.9,-29181.94,-26630.4,-26464.94,-25809.34,-24827.02,-23940.34,-21930.4,-19162.54,-16798.28,-14565.8,-16012.42,-16747.8,-18161.1,Yemen
Scan_9,-5586.22,-16409.78,-16883.8,-7595.1,-3392.4,-4130.48,-12469.94,-3529.28,-28726.98,-34076.5,-25137.2,-20579,-28882.82,-33919.72,-22640.64,-14082.8,-19358.28,-17530.34,-21863.34,-26090,-32714.32,-32620.68,-25798.86,-24879.78,-27942.64,-32166.74,-32986.66,-27791.66,-24852.4,-25427,-3604.36,-15352.66,-1048.78,4184.58,4924.2,8921.98,6899.32,8515.6,5441.68,2811.3,965.52,-2927.34,-3545.36,-7357.4,-9570.84,-13243.72,-18464.2,-14787.5,-14591.78,-16069,-34424.62,-34469.04,-34063.76,-33851.08,-33560.96,-33385.98,-31016.76,-32751.4,-25740.28,-30668.22,-32296.7,-32066.04,-31860.46,-29091.3,-31762.76,-31648.14,-31612.08,-31636.3,-31694.86,-31897.24,-31462.54,-28724.94,-32626.56,-32789,-25951.04,-21861.16,-31335.64,-33090.78,-32960.28,-32862.84,-32773.82,-32658.14,-32524.48,-32405.46,-29559.58,-29935.52,-27450.16,-29049.54,-26539.48,-26400.02,-25769.38,-24805.1,-23939.18,-21922.78,-19149.22,-16797.4,-14564.18,-16006.54,-16746.28,-18158.06,Yemen
Scan_10,-5254.8,-15879.26,-16014.3,-6537.38,-2164.94,-2751.98,-11178.3,-2308.92,-27637.92,-33203.16,-24343,-20052.24,-28467.2,-33679.22,-22424.78,-14037.54,-19306.86,-17446.34,-21808.98,-25962.62,-32548.2,-32436.12,-25622.02,-24765.34,-27834.84,-32189.3,-32893.7,-27695.02,-24815.48,-25407.26,-3561.24,-15282.58,-936.54,4321.14,5104.7,9109.04,7096.08,8706.9,5652.76,2965.28,1097.26,-2817.24,-3464.9,-7291.56,-9519.1,-13210.32,-18443.54,-14785.58,-14599.8,-16091.72,-31802.42,-31666.94,-31884.96,-32063.6,-31918.34,-32087.12,-29969.56,-31951.94,-25199.54,-30499.44,-32266.5,-32196.96,-32050.62,-29335.46,-31916.4,-31911.2,-31868.72,-31903.68,-31999.6,-32231.54,-31861.58,-29180.82,-33091.42,-33325.9,-26492.64,-22342.8,-31774.46,-33489.12,-33240.26,-33087.76,-32937.64,-32673.44,-32496.24,-32391.36,-29493.42,-29908.4,-27422.42,-29038.76,-26529.48,-26401.38,-25783.42,-24829.18,-23962.68,-21935.28,-19152.84,-16789.98,-14534.32,-15975.58,-16708.82,-18117.34,Yemen
