Scan_Group,Point_0_Real,Point_1_Real,Point_2_Real,Point_3_Real,Point_4_Real,Point_5_Real,Point_6_Real,Point_7_Real,Point_8_Real,Point_9_Real,Point_10_Real,Point_11_Real,Point_12_Real,Point_13_Real,Point_14_Real,Point_15_Real,Point_16_Real,Point_17_Real,Point_18_Real,Point_19_Real,Point_20_Real,Point_21_Real,Point_22_Real,Point_23_Real,Point_24_Real,Point_25_Real,Point_26_Real,Point_27_Real,Point_28_Real,Point_29_Real,Point_30_Real,Point_31_Real,Point_32_Real,Point_33_Real,Point_34_Real,Point_35_Real,Point_36_Real,Point_37_Real,Point_38_Real,Point_39_Real,Point_40_Real,Point_41_Real,Point_42_Real,Point_43_Real,Point_44_Real,Point_45_Real,Point_46_Real,Point_47_Real,Point_48_Real,Point_49_Real,Point_0_Imag,Point_1_Imag,Point_2_Imag,Point_3_Imag,Point_4_Imag,Point_5_Imag,Point_6_Imag,Point_7_Imag,Point_8_Imag,Point_9_Imag,Point_10_Imag,Point_11_Imag,Point_12_Imag,Point_13_Imag,Point_14_Imag,Point_15_Imag,Point_16_Imag,Point_17_Imag,Point_18_Imag,Point_19_Imag,Point_20_Imag,Point_21_Imag,Point_22_Imag,Point_23_Imag,Point_24_Imag,Point_25_Imag,Point_26_Imag,Point_27_Imag,Point_28_Imag,Point_29_Imag,Point_30_Imag,Point_31_Imag,Point_32_Imag,Point_33_Imag,Point_34_Imag,Point_35_Imag,Point_36_Imag,Point_37_Imag,Point_38_Imag,Point_39_Imag,Point_40_Imag,Point_41_Imag,Point_42_Imag,Point_43_Imag,Point_44_Imag,Point_45_Imag,Point_46_Imag,Point_47_Imag,Point_48_Imag,Point_49_Imag
Scan_1,-29993.3,-29955.34,-29840.32,-29792.8,-30128.4,-30529.14,-29700.2,-31203.58,-31525.76,-31858.88,-32123.98,-32280.5,-32689.3,-32636.22,-32780.34,-33197.04,-33037.34,-33116.44,-33360.62,-33355.54,-33343.38,-33192.02,-32978.76,-32806.14,-32604.02,-32470.3,-32246.44,-32128.34,-20528.28,-13436.58,-6654.54,-3366.44,-4554.78,-3297.02,-3120.88,-4675.7,-6459.64,-8662.44,-11496.98,-13190.58,-15456.84,-16436.18,-17086.4,-17740.16,-18261.64,-18226.4,-18316.78,-18925.36,-20807.24,-21987.58,-4759.34,5450.12,2106.18,8406.78,-2162,-9893.38,10461,24954.36,16118.88,9178.22,6500.1,7230.54,-14481.82,3383.2,3336.74,6203.38,11533.3,6063.66,3735.4,2064.8,10196.48,11987.6,7396.14,11203.12,18396.12,26464.76,22292.98,27614.74,27252.38,30160.44,29555.16,21763.7,15093.22,9293.86,4165.28,1012.58,-3299.56,-3883.16,-4794.64,-6363.62,-6054.12,-5587.06,-5263.68,-3726.24,-1975.18,-4005.44,-3700.28,-3572.96,-1032.74,1317.28
Scan_2,-31619.94,-30623.78,-30870.1,-30123.92,-30376.92,-30106.48,-28957.34,-30263.02,-30337.22,-30520.24,-30094.72,-30704.24,-30474.32,-30852.9,-30769.08,-30857.1,-31001.4,-31417.94,-31914.46,-32165.26,-32403.72,-32670.2,-32972.26,-33008.14,-33057.38,-33036.54,-33044.2,-32984.18,-21417.8,-14324.82,-7536.02,-4279.74,-5470.54,-4177.98,-3974.36,-5462.54,-7221.58,-9269.76,-12093.02,-13680.2,-15972.94,-16841.46,-17364.94,-17947.2,-18396.92,-18320.42,-18433.06,-18956.76,-20822.8,-21966.32,-9928.68,567.6,-2191.76,4579.52,-5812.64,-12930.4,8127.3,23175.36,15045.24,8412.94,6483.74,7201.2,-13660.36,3880.72,4133.9,7093.82,12491.3,6754.02,3940.12,2132.28,10087.82,11702.86,7035.98,10692.96,17869.52,25873.22,21768.1,27038.98,26587.28,29462.26,28937.78,21264.88,14662.72,8933.66,3843.06,717.02,-3487.16,-4102.82,-4985.26,-6440.72,-6173.84,-5703.18,-5308.52,-3757.56,-1967.18,-3978.46,-3706.7,-3532.66,-969.2,1387.1
Scan_3,-33580.42,-33626.48,-33494.94,-33435.36,-33191.96,-32932.32,-31527.66,-32290.62,-31932.6,-31583.94,-31142.16,-31027.64,-30685.2,-30884.4,-30795.3,-30813.08,-30915.04,-31372.46,-31758.36,-32089.4,-32439.7,-32642.96,-32809.8,-32881.86,-32879.54,-32902.24,-32932.24,-32907.92,-21417.9,-14343.26,-7624.84,-4363.68,-5577.72,-4270.18,-4019.42,-5473.36,-7195.56,-9213.1,-11984.72,-13581.66,-15817.88,-16696.7,-17229.62,-17840.02,-18311.94,-18255.56,-18347.44,-18937.1,-20825.38,-22002.82,-7833.3,2452.58,318.96,6875.32,-3136.88,-10641.7,10256.24,25221.24,16798.44,10169.52,7652.26,8672.24,-12602.6,4860.74,4850.68,7829.52,13177.4,7323.06,4660.4,2802.52,10645.92,12331.52,7644,11368.18,18533.24,26540.84,22374.7,27676.82,27208.9,30139.86,29596.58,21919,15346.6,9609.1,4520.44,1391.06,-2805.44,-3505,-4421.3,-5903.1,-5679.14,-5300.54,-4969.6,-3471.22,-1781.54,-3832.42,-3582.44,-3461.12,-942.54,1396.48
Scan_4,-32684.06,-32494.52,-32368.6,-32121.24,-32012.28,-31860.1,-30659.4,-31526.08,-31370.32,-31202.9,-30756.28,-30921.48,-30776.44,-31124.02,-30969.14,-31092.82,-31473.14,-31553.18,-32341,-32633.06,-32977.6,-33222.78,-33467.1,-33434.08,-33464.28,-33467.68,-33376.9,-33269.1,-21637.44,-14514.96,-7699.08,-4339.78,-5504.06,-4177.02,-3952.2,-5412.5,-7198.96,-9257.34,-12062.92,-13668.08,-15991.24,-16820.76,-17407,-18006.92,-18477,-18411.84,-18502.94,-19028.9,-20897.48,-22064.56,-8292.38,1913.14,-346.2,6180.18,-3920.44,-11424.32,9393.12,24522.96,16161.32,9437.02,7173.18,7976.7,-13342.84,4040.24,4212.78,7014.36,12165.74,6683.06,3724.84,1898.44,9892.9,11563.98,7001.5,10567.24,17762.68,25889,21730.42,26997.36,26532.38,29445.46,28959.04,21280.24,14707.42,8997.64,3931.3,810.64,-3392.74,-4028.34,-4896.84,-6363.68,-6132.72,-5639.36,-5297.16,-3755.86,-1960.3,-3985.7,-3697.24,-3547.34,-980.18,1351.1
Scan_5,-34371.36,-33904.36,-33367.5,-33016.48,-32680.98,-32374.5,-31015.26,-31951.14,-31803.4,-31676.78,-31380.38,-31581.68,-31346.56,-31609.66,-31668.78,-31708.54,-31713.88,-32116.4,-32526.08,-32791.3,-32951.92,-33108.88,-33289.14,-33337.42,-33364.32,-33312.14,-33274.4,-33189.4,-21577.68,-14451.68,-7597.9,-4250.56,-5395.8,-4031.04,-3804.82,-5233.72,-7027.04,-9072.86,-11938.28,-13578.98,-15897.92,-16849.06,-17439.9,-18085.86,-18551.54,-18488.02,-18563.52,-19139.22,-21003.46,-22143.28,-7541.52,2723.32,455.52,6862.88,-3368.02,-11003.26,9776.74,24645.14,16216.56,9521.16,7173.58,8025.72,-13070.66,4424.84,4463.86,7363.08,12843.82,7088.5,4346.42,2518.88,10475.66,12073.18,7360.26,11084.58,18144.26,26171.26,22037.84,27311.64,26867.12,29758.76,29237.7,21583.78,15018.06,9300.48,4258.12,1068.16,-3110.28,-3832.46,-4759.66,-6235.92,-5987.48,-5567.3,-5209.16,-3674.38,-1875.64,-3886.12,-3593.86,-3417.42,-862.62,1490.82
Scan_6,-34335.72,-34150.32,-33869.56,-33556.26,-33158.5,-32840.92,-31429.34,-32263.32,-31951.06,-31670.14,-31352.96,-31196.52,-30917.66,-30998.6,-30890.12,-30853.14,-30892.48,-31101.28,-31375.18,-31610.56,-31826.32,-32004.44,-32162.18,-32233.86,-32385.64,-32417.98,-32599.78,-32566.4,-21118.6,-14093.2,-7370.8,-4102.18,-5325.24,-4018.16,-3774.5,-5278.56,-7027.2,-9121.64,-11943.06,-13578.8,-15866.78,-16807.32,-17371.68,-18003.14,-18484.8,-18429.06,-18511.9,-19079.98,-20946.46,-22091.98,-6442.6,3838.74,1293.7,7791.6,-2498.84,-10275.66,10399.18,25156.42,16648.62,9964.18,7322.84,8510.76,-13004.72,4858.64,4839.7,7772.54,13143.68,7561.54,4945.2,3081.04,10971.22,12620.58,7827.06,11514.42,18628.44,26591.78,22401.1,27653.32,27158.02,30044.62,29494.56,21806.2,15211.34,9475.58,4371.48,1228.02,-3000.46,-3676.24,-4610,-6088.98,-5865.34,-5436.8,-5096.26,-3579.68,-1820.66,-3854.3,-3580.8,-3437.6,-893.28,1460.48
Scan_7,-33929.26,-33735.58,-33528.4,-33553.5,-33390.72,-33329.76,-32050.56,-33004.06,-32821.28,-32586.76,-32296.02,-32009.36,-31608.82,-31513.68,-31273.08,-31163.14,-31098.98,-31208.78,-31497.28,-31697.2,-31880.04,-32082.1,-32280.54,-32454.42,-32570.54,-32650.94,-32723.42,-32738.18,-21211.98,-14177.34,-7365.48,-4052.86,-5231.48,-3872,-3642.58,-5105.22,-6898.52,-8952.94,-11787.44,-13428.14,-15730.14,-16668.14,-17221.44,-17868.14,-18349.06,-18302.32,-18399.2,-18982.06,-20852.5,-22018.88,-5788.78,4224.68,1739.46,7871,-2436.38,-10245.3,10615.76,25571.7,17188.56,10542.14,8094.78,9179.76,-12110.58,5608.64,5507.16,8362.62,13564.9,7915.78,5033.72,2985.82,10857.72,12373.86,7561.02,11169.4,18211.76,26200.22,22004.32,27326.2,26874.18,29816.28,29314.8,21667.1,15104.34,9386.64,4367.88,1188.1,-2985.7,-3660.3,-4588.4,-6050.48,-5803.44,-5340.68,-5000.72,-3480.84,-1673.42,-3687.74,-3393.08,-3259.48,-694.26,1645.74
Scan_8,-34104.22,-34272.6,-34452.78,-34470.28,-34785.08,-34910.48,-34095.98,-35183.78,-35198.84,-35211.6,-34971.06,-35018.94,-34800.44,-34772,-34612.9,-34382.58,-34034.06,-33953.8,-33865.9,-33520.1,-33345.66,-33099.66,-32885.38,-32703.32,-32548.78,-32478.58,-32400.26,-32345.52,-20796.76,-13757.76,-7055.36,-3830.84,-5109.26,-3899.54,-3733.42,-5351.78,-7205.02,-9388.34,-12269.46,-13931.86,-16232.54,-17190.38,-17742.28,-18356.82,-18792,-18701.62,-18731.86,-19231.36,-21052.26,-22184.08,-6440.16,2925.62,466.22,6335.7,-3720.06,-11341.1,9629.86,24374.4,16040.68,9491.32,6644.52,8081.44,-13336.76,4589.76,4531.34,7277.58,12435.02,6991.48,4547.44,2615.5,10651.76,12275.3,7566.72,11239.12,18326.86,26346.62,22148.66,27445.3,26918.88,29746.26,29118.3,21424.78,14778.3,8996.18,3891,730.8,-3442.6,-4063.8,-4918.94,-6336.96,-6035.78,-5513.22,-5071.1,-3520.1,-1661.52,-3682.34,-3406.26,-3262.74,-741.28,1560.62
Scan_9,-33972.08,-33471.38,-32916.1,-32552.34,-32093.38,-31792.46,-30542.82,-31434.12,-31251.26,-31067,-30768.46,-30846.7,-30512.5,-30755.54,-30723.94,-30822.16,-30936.52,-31154,-31603.52,-31892.2,-31926.44,-32131.14,-32350.7,-32475.92,-32504.02,-32515.82,-32502.02,-32460.06,-20889.46,-13858.64,-7074.86,-3817.08,-5031.32,-3737.54,-3539.46,-5058.34,-6915.72,-9018.36,-11915.36,-13601.62,-15968.36,-16925.82,-17520.64,-18169.64,-18645.18,-18605.66,-18683.7,-19249.7,-21113.98,-22239.96,-5031.4,4920.22,2427.26,8405.08,-2166.34,-10149.1,10438.2,25210.78,16650.92,9909.8,7165.94,8126.68,-13060.4,4355.58,4224.86,6964.74,12192.76,6639.64,3883.58,2051.6,10180.3,11854.16,7153.32,10919.78,18133.12,26235.58,22087.62,27505.64,27029.14,30008.98,29511.68,21844.48,15233.58,9500.36,4403.86,1165.22,-3037.32,-3768.92,-4694.92,-6202.06,-5966.2,-5497.92,-5108.62,-3564.32,-1791.66,-3804.5,-3506.3,-3337.94,-810.26,1548.84
Scan_10,-32866.02,-32334.82,-31995.3,-31543.24,-31515.92,-31153.28,-30235.58,-31115.3,-31064.72,-31142.22,-30824.02,-31115.92,-31159.76,-31389.3,-31206.34,-31289.94,-31250.52,-31472.82,-31955.06,-32309.92,-32619.42,-32734.64,-32985.6,-33082.88,-33183.08,-33209.56,-33261.42,-33224.78,-21676.86,-14581.66,-7740.34,-4402.04,-5534.32,-4157.88,-3915.5,-5358.32,-7153.02,-9214.14,-12065.8,-13704.76,-16000.7,-16896.58,-17461.6,-18093.56,-18568.28,-18482.96,-18551.18,-19111.44,-20977.76,-22129.36,-7540.98,2521.66,-15.46,6144.04,-4497.52,-12069.1,8314.04,23406.26,15088.18,8422.84,6246.6,7240.22,-13956.48,3772.34,4088.24,7048.84,12661.56,7155.08,4315,2445.64,10383.02,12048.1,7333.58,10980.94,18098.18,26101.44,21947.58,27269.18,26877.72,29735.04,29264.76,21567.28,14980.32,9239.18,4146.02,975.06,-3279.06,-3934.7,-4826.34,-6300.3,-6029.94,-5547.02,-5171.6,-3625.66,-1820.04,-3833.4,-3533.66,-3372.42,-812.5,1542.76
