Scan_Group,Point_0_Real,Point_1_Real,Point_2_Real,Point_3_Real,Point_4_Real,Point_5_Real,Point_6_Real,Point_7_Real,Point_8_Real,Point_9_Real,Point_10_Real,Point_11_Real,Point_12_Real,Point_13_Real,Point_14_Real,Point_15_Real,Point_16_Real,Point_17_Real,Point_18_Real,Point_19_Real,Point_20_Real,Point_21_Real,Point_22_Real,Point_23_Real,Point_24_Real,Point_25_Real,Point_26_Real,Point_27_Real,Point_28_Real,Point_29_Real,Point_30_Real,Point_31_Real,Point_32_Real,Point_33_Real,Point_34_Real,Point_35_Real,Point_36_Real,Point_37_Real,Point_38_Real,Point_39_Real,Point_40_Real,Point_41_Real,Point_42_Real,Point_43_Real,Point_44_Real,Point_45_Real,Point_46_Real,Point_47_Real,Point_48_Real,Point_49_Real,Point_0_Imag,Point_1_Imag,Point_2_Imag,Point_3_Imag,Point_4_Imag,Point_5_Imag,Point_6_Imag,Point_7_Imag,Point_8_Imag,Point_9_Imag,Point_10_Imag,Point_11_Imag,Point_12_Imag,Point_13_Imag,Point_14_Imag,Point_15_Imag,Point_16_Imag,Point_17_Imag,Point_18_Imag,Point_19_Imag,Point_20_Imag,Point_21_Imag,Point_22_Imag,Point_23_Imag,Point_24_Imag,Point_25_Imag,Point_26_Imag,Point_27_Imag,Point_28_Imag,Point_29_Imag,Point_30_Imag,Point_31_Imag,Point_32_Imag,Point_33_Imag,Point_34_Imag,Point_35_Imag,Point_36_Imag,Point_37_Imag,Point_38_Imag,Point_39_Imag,Point_40_Imag,Point_41_Imag,Point_42_Imag,Point_43_Imag,Point_44_Imag,Point_45_Imag,Point_46_Imag,Point_47_Imag,Point_48_Imag,Point_49_Imag
Scan_1,-21967.18,-20272.120000000003,-11076.359999999999,-6517.06,-24607.02,-19027.96,-33511.3,-33442.4,-5266.76,8538.26,5986.4400000000005,-4340.82,-9464.12,2493.04,-9063.98,-8497.64,1125.8,-3986.88,1828.98,-6925.000000000001,-14629.119999999999,-3099.58,-5444.860000000001,-5546.94,-680.0,890.0200000000001,-247.33999999999992,-2100.88,-6406.719999999999,-3510.7799999999997,2877.12,271.6,1687.98,-1371.2,-4730.44,-7141.88,-11310.02,-12756.560000000001,-16917.64,-19905.88,-22195.24,-22311.86,-20585.18,-20754.16,-24382.22,-23319.28,-22219.34,-19724.280000000002,-20659.36,-16746.88,24317.440000000002,25712.14,30997.32,32127.02,32402.94,32760.9,28401.48,32529.34,32527.620000000003,34091.86,34528.36,34530.38,34557.3,34624.34,34543.82,34334.2,34331.14,34320.6,34205.84,34093.72,34330.08,34164.08,33894.62,33647.26,33529.16,33195.3,32936.24,32707.42,32483.9,32286.54,32182.88,26097.36,18773.120000000003,12584.080000000002,6557.64,3555.54,1824.8400000000001,1212.0,984.18,3444.36,5179.280000000001,8594.22,13790.880000000001,15658.16,12299.04,17603.64,21060.24,27553.100000000002,26015.8,29718.42
Scan_2,-18395.18,-16872.34,-8147.86,-4151.360000000001,-22869.32,-17706.64,-32621.56,-32975.18,-5116.9,8638.86,5982.14,-4546.94,-9485.02,2644.4,-9051.64,-8592.26,1121.2,-3871.7799999999997,1828.22,-7088.220000000001,-14478.44,-3255.74,-5685.4400000000005,-6023.42,-1127.9,316.88,-727.78,-2543.7200000000003,-6768.719999999999,-3741.8799999999997,2858.1600000000003,283.98,1763.92,-1267.42,-4471.02,-6909.66,-11228.0,-12756.1,-16912.96,-19938.42,-22284.4,-22437.46,-20694.820000000003,-20838.52,-24470.32,-23357.079999999998,-22181.82,-19642.0,-20520.22,-16581.22,23356.120000000003,24505.0,29969.940000000002,30495.36,30937.84,31366.12,26963.32,31341.34,31562.32,33412.78,33940.32,34123.98,34307.2,34207.1,34181.02,34014.2,33853.76,33550.3,33308.74,33213.5,33323.8,33098.46,32936.84,32875.1,32741.78,32711.24,32520.96,32437.4,32302.84,32221.32,32201.42,26060.94,18714.08,12494.400000000001,6450.64,3387.6400000000003,1672.1800000000003,1022.26,821.0999999999999,3312.6200000000003,5126.240000000001,8623.08,13897.54,15823.24,12482.960000000001,17856.46,21331.84,27817.36,26256.420000000002,29921.44
Scan_3,-23792.960000000003,-21677.640000000003,-12233.46,-7452.18,-25354.76,-19691.32,-33978.520000000004,-33747.72,-5580.099999999999,8277.08,5625.46,-4751.3,-9435.02,2592.7200000000003,-8950.24,-8235.02,1472.76,-3550.04,2082.36,-6857.540000000001,-14266.46,-2938.98,-5421.4,-5632.5599999999995,-811.54,645.0600000000001,-472.46000000000004,-2314.5600000000004,-6622.82,-3668.54,2731.8,154.92,1691.46,-1363.16,-4585.38,-6975.4,-11170.18,-12657.980000000001,-16746.7,-19678.68,-21935.88,-22040.66,-20288.36,-20426.100000000002,-24054.9,-22965.879999999997,-21848.84,-19375.960000000003,-20322.420000000002,-16471.260000000002,25206.960000000003,26529.34,31468.56,32732.46,32934.32,33026.78,28872.0,32991.28,32914.7,34456.3,34885.1,34856.24,34867.66,34914.64,34780.68,34447.06,34274.86,34072.82,34093.28,34050.4,33916.58,33707.64,33529.4,33168.06,33159.04,33035.78,32926.5,32800.9,32640.72,32625.98,32447.36,26387.9,19149.800000000003,12954.080000000002,6877.02,3876.6800000000003,2138.1800000000003,1500.9,1229.94,3657.26,5371.6,8774.06,13956.84,15807.92,12486.560000000001,17697.12,21164.260000000002,27523.760000000002,25976.8,29603.42
Scan_4,-21047.960000000003,-19080.460000000003,-9971.38,-5426.92,-23705.44,-18277.28,-32919.12,-32997.6,-4920.28,8956.16,6403.06,-4251.4,-9017.22,2572.3,-9075.92,-8364.36,1275.52,-3911.1,1568.76,-7263.740000000001,-14585.08,-3332.06,-5810.04,-6002.26,-1053.6399999999999,424.7199999999999,-581.1800000000001,-2353.5200000000004,-6554.36,-3524.7,3022.92,543.14,2092.6400000000003,-997.26,-4300.4400000000005,-6633.44,-11004.14,-12339.900000000001,-16562.34,-19641.739999999998,-21970.64,-22069.3,-20292.600000000002,-20451.82,-24070.18,-22960.8,-21824.239999999998,-19326.960000000003,-20275.82,-16401.06,23972.5,25156.38,30631.66,31603.06,32073.88,32557.18,28339.699999999997,32608.18,32712.4,34401.32,34822.38,34869.74,34695.42,34903.7,34713.1,34278.98,34058.76,33926.9,34009.96,33771.3,33627.36,33487.42,33435.22,33155.3,33033.36,33016.14,32864.56,32802.76,32652.48,32511.4,32414.94,26338.42,18937.72,12639.140000000001,6518.9800000000005,3460.6400000000003,1679.7400000000002,1056.1,819.8,3280.7000000000003,5066.780000000001,8535.92,13794.78,15666.36,12382.86,17624.94,21125.7,27434.4,25850.96,29455.62
Scan_5,-22531.940000000002,-20133.320000000003,-10814.82,-6384.22,-24377.26,-18918.24,-33557.5,-33566.200000000004,-5493.98,8606.720000000001,5972.860000000001,-4543.86,-9643.26,2775.7,-8854.88,-8402.1,1464.58,-3554.2,2139.2,-6772.380000000001,-14119.2,-2796.0,-5186.360000000001,-5444.639999999999,-486.89999999999986,1013.1999999999999,-34.09999999999991,-1838.9200000000003,-6047.66,-3071.04,3354.4800000000005,743.9399999999999,2169.04,-1121.04,-4416.3,-6796.82,-11044.36,-12653.000000000002,-16851.82,-19855.9,-22220.64,-22334.96,-20575.800000000003,-20705.9,-24317.74,-23201.859999999997,-22053.5,-19535.22,-20451.56,-16549.120000000003,22507.980000000003,23781.02,29285.98,30589.68,30994.22,31577.5,27552.5,31973.440000000002,32258.02,34138.56,34659.92,34712.68,34708.52,34774.98,34609.3,34376.74,34015.86,33836.64,33773.52,33700.42,33665.28,33481.2,33296.56,33160.36,32968.84,32992.82,32817.84,32618.02,32557.68,32407.16,32258.92,26140.04,18775.000000000004,12475.820000000002,6476.400000000001,3464.32,1723.4,1126.1399999999999,911.9199999999998,3376.46,5185.06,8646.32,13870.66,15757.199999999999,12413.640000000001,17700.96,21154.420000000002,27575.260000000002,25993.38,29627.02
Scan_6,-20316.620000000003,-18615.760000000002,-9346.96,-5231.42,-22864.1,-17843.54,-32161.0,-32269.58,-4197.08,9575.220000000001,6815.200000000001,-3586.54,-8609.22,3366.7,-8432.9,-8033.700000000001,1440.92,-3720.1800000000003,1876.5400000000002,-7115.9400000000005,-14434.7,-3165.7200000000003,-5677.9400000000005,-5970.799999999999,-1066.68,462.38,-611.1800000000001,-2369.6400000000003,-6626.0599999999995,-3677.8599999999997,2906.08,317.79999999999995,1937.5200000000002,-1134.52,-4330.76,-6828.46,-11105.94,-12596.34,-16730.44,-19745.239999999998,-22025.02,-22159.2,-20403.02,-20533.100000000002,-24168.52,-23093.239999999998,-21950.32,-19444.98,-20368.74,-16495.38,19910.86,21421.62,27811.8,28807.18,29838.66,30589.68,26661.44,31233.460000000003,31692.66,33704.8,34325.94,34567.56,34611.7,34652.66,34612.94,34362.34,34320.56,34107.78,33959.64,33885.0,33654.84,33380.8,33299.96,33247.54,33178.08,32969.82,32866.16,32640.48,32648.96,32366.98,32340.82,26180.2,18930.800000000003,12670.12,6582.820000000001,3503.38,1773.48,1063.54,822.8799999999999,3283.38,5046.400000000001,8471.119999999999,13662.76,15544.36,12222.300000000001,17468.18,20940.68,27379.56,25829.34,29451.28
Scan_7,-21985.960000000003,-20514.960000000003,-11043.18,-6935.38,-24830.08,-19761.38,-34239.340000000004,-34237.22,-6213.48,7739.08,5345.46,-4838.9,-9661.36,2481.82,-8963.62,-8318.220000000001,1286.7,-3608.1,1853.0,-7106.300000000001,-14729.74,-3397.7,-5846.8,-6096.66,-1284.3400000000001,415.80000000000007,-742.64,-2384.0600000000004,-6737.879999999999,-3678.5,2805.6800000000003,271.14,1823.3200000000002,-1282.74,-4524.0,-7007.72,-11191.02,-12734.720000000001,-16871.52,-19850.46,-22152.3,-22276.54,-20522.24,-20653.9,-24274.34,-23164.039999999997,-22026.54,-19517.2,-20440.14,-16542.7,21549.72,23045.18,28354.9,29684.72,29870.0,30660.64,26616.059999999998,31161.38,31489.84,33545.5,34323.76,34477.3,34543.42,34610.92,34427.14,34089.28,33997.64,33585.3,33834.84,33835.78,34032.16,33931.82,33822.24,33817.74,33864.9,33646.58,33599.5,33405.22,33334.74,33064.42,32967.6,26832.78,19509.920000000002,13192.7,7024.500000000001,3965.7000000000003,2163.2200000000003,1493.42,1204.56,3618.88,5332.360000000001,8744.539999999999,13913.72,15760.96,12423.380000000001,17678.12,21112.480000000003,27523.280000000002,25968.0,29557.739999999998
Scan_8,-20656.640000000003,-18594.38,-10067.68,-5325.04,-24435.12,-19019.1,-33531.76,-33785.4,-5866.5599999999995,7922.900000000001,5413.72,-4907.84,-9674.8,1903.38,-9494.26,-8879.64,928.4,-4173.24,1674.7,-7195.900000000001,-14815.06,-3332.44,-5934.96,-6299.139999999999,-1310.52,91.07999999999993,-894.34,-2775.96,-6994.94,-4060.08,2422.2000000000003,-66.08000000000001,1526.3400000000001,-1527.94,-4714.56,-7145.22,-11271.06,-12834.1,-16928.68,-19878.7,-22164.34,-22295.84,-20532.4,-20658.8,-24280.22,-23138.039999999997,-21965.66,-19439.74,-20323.78,-16417.260000000002,22145.100000000002,23412.58,29216.98,30035.86,30684.2,31189.28,26792.18,31355.780000000002,31565.920000000002,33537.22,34245.38,34537.8,34904.86,34767.5,34865.08,34804.54,34730.78,34568.5,34303.26,34163.12,34286.08,33961.74,33970.78,33910.06,33726.06,33604.34,33429.94,33374.12,33124.74,33038.12,32976.64,26880.46,19611.660000000003,13369.42,7226.540000000001,4228.26,2461.78,1744.02,1462.08,3858.0600000000004,5565.8,8954.16,14120.460000000001,15958.1,12568.62,17825.100000000002,21254.38,27697.84,26082.18,29724.88
Scan_9,-19757.74,-18263.68,-9221.32,-4868.76,-23420.5,-18176.58,-32788.12,-32973.56,-5171.48,8534.28,5733.780000000001,-4777.32,-9742.86,2076.3,-9563.94,-8800.12,788.0600000000001,-4370.98,1303.6000000000001,-7589.400000000001,-14918.88,-3656.7,-6080.92,-6405.5199999999995,-1438.3600000000001,31.43999999999994,-891.7800000000001,-2723.9,-6891.84,-3904.3999999999996,2620.7400000000002,107.46000000000001,1592.96,-1452.32,-4798.8,-7155.48,-11446.16,-12828.62,-16994.059999999998,-20048.56,-22305.52,-22355.2,-20570.22,-20676.46,-24263.58,-23151.6,-21991.44,-19462.16,-20382.18,-16474.34,20663.020000000004,22150.86,28115.28,29253.64,29889.04,30564.46,26487.5,30957.460000000003,31280.260000000002,33171.06,33742.06,33992.34,34156.74,34298.38,34289.02,33997.96,33917.3,33841.88,33713.92,33551.28,33478.58,33258.26,33194.82,33085.2,32966.46,32802.84,32625.0,32451.06,32279.26,32089.48,32011.4,25920.1,18574.780000000002,12353.080000000002,6291.3,3310.1400000000003,1595.0600000000002,1007.9399999999999,789.1399999999999,3321.32,5078.06,8517.08,13742.02,15621.66,12296.02,17568.18,21052.820000000003,27483.280000000002,25924.7,29542.9
Scan_10,-20213.260000000002,-18606.18,-9242.619999999999,-4784.72,-23164.6,-17986.66,-32824.96,-33062.700000000004,-5146.04,8600.04,6029.06,-4268.28,-9333.8,2400.7,-9457.08,-8757.06,836.76,-4225.36,1437.78,-7477.460000000001,-14907.48,-3604.74,-5985.76,-6321.76,-1403.78,118.95999999999992,-908.9200000000001,-2694.2200000000003,-6916.0599999999995,-3947.9399999999996,2526.6600000000003,-0.36000000000001364,1500.94,-1611.96,-4881.8,-7404.38,-11616.34,-13015.44,-17113.66,-20107.3,-22378.7,-22458.52,-20661.24,-20766.780000000002,-24360.68,-23234.359999999997,-22052.64,-19536.22,-20433.46,-16541.280000000002,23568.480000000003,24940.14,30654.4,31538.94,32069.48,32491.84,28182.82,32529.140000000003,32735.440000000002,34585.62,35255.18,35291.96,35523.28,35257.98,35250.3,34979.2,34816.04,34450.62,34151.62,33902.72,33844.34,33572.74,33356.2,33269.94,33192.4,32942.4,32844.3,32731.1,32593.4,32363.16,32216.04,26146.18,18842.86,12622.26,6608.660000000001,3621.28,1934.1800000000003,1212.22,970.9399999999999,3492.5000000000005,5251.84,8702.22,13922.92,15801.0,12437.28,17732.06,21162.58,27601.9,26020.3,29633.82
