Country,Average,Std Deviation
Yemen,-7804.2,3050.501922
Yemen,-15963.37,3406.841082
Yemen,-11888.11,4100.333001
Yemen,-2302.8,4373.051661
Yemen,1288.5,4077.73012
Yemen,1540.89,3976.541449
Yemen,-20713.48,4462.454018
Yemen,-11641.58,7586.409737
Yemen,-30742.53,3478.437536
Yemen,-31753.14,3793.452782
Yemen,-21176.58,4559.331225
Yemen,-19097.5,3727.51737
Yemen,-22810.11,4138.509327
Yemen,-31915.09,4055.22065
Yemen,-17903.28,3921.225453
Yemen,-12566.59,4472.088372
Yemen,-18599.83,3703.561213
Yemen,-16250.04,3625.34839
Yemen,-19599.23,3557.47811
Yemen,-21369.96,3880.480674
Yemen,-30641.55,4127.005887
Yemen,-31016.51,3901.891192
Yemen,-23086.57,4821.509275
Yemen,-19974.82,4865.534453
Yemen,-29638.33,3608.840684
Yemen,-32031.79,3458.819683
Yemen,-30788.41,4567.541494
Yemen,-24309.05,4789.403693
Yemen,-21557.76,4670.82619
Yemen,-20888.1,4637.217135
Yemen,-1593.09,3127.309531
Yemen,-8201.55,3998.680044
Yemen,3182.31,3805.320745
Yemen,6311.26,3122.557039
Yemen,6405.53,3023.996269
Yemen,8801.68,2548.796492
Yemen,8904.56,2403.859495
Yemen,9451.75,2407.493021
Yemen,6810.51,2259.261288
Yemen,5439.5,2147.586567
Yemen,739.27,2349.098673
Yemen,-2280.64,2264.255542
Yemen,-2793.83,1871.350435
Yemen,-5292.45,2006.905606
Yemen,-8816.86,2194.59581
Yemen,-11790.02,2088.582778
Yemen,-17451.45,2517.648742
Yemen,-13207.01,2378.883584
Yemen,-14735.01,2141.804948
Yemen,-14984.21,2322.621321
Yemen,-33266.67,3370.25575
Yemen,-33252.99,3358.562752
Yemen,-33125.79,3370.720084
Yemen,-33058.08,3397.029153
Yemen,-32908.49,3442.986004
Yemen,-32912.51,3483.717005
Yemen,-30621.88,3725.40244
Yemen,-30235.93,3924.439987
Yemen,-28319.26,4210.407964
Yemen,-31712.68,3858.697238
Yemen,-32546.73,3493.880492
Yemen,-32503.11,3432.4041
Yemen,-32314.3,3315.229459
Yemen,-30984.17,3257.060648
Yemen,-32095.57,3028.682953
Yemen,-31644.18,3979.318881
Yemen,-31934.12,2738.974459
Yemen,-31941.3,2595.108199
Yemen,-31845.42,2442.362623
Yemen,-31920.12,2387.9021
Yemen,-31700.31,2445.501723
Yemen,-30412.06,2492.650989
Yemen,-32478.3,2438.304269
Yemen,-32637.55,2382.83298
Yemen,-26206.3,3147.340134
Yemen,-25377.37,3424.306219
Yemen,-32200.12,2571.027583
Yemen,-33067.6,2651.17709
Yemen,-33052.89,2715.842799
Yemen,-33050.15,2782.127248
Yemen,-33011.4,2780.973983
Yemen,-32943.95,2864.138878
Yemen,-32856.46,2994.240011
Yemen,-31591.59,3038.122088
Yemen,-28145.42,2902.710232
Yemen,-28938.27,2806.966089
Yemen,-25583.49,2653.247007
Yemen,-27468.8,2719.654518
Yemen,-24924.55,2447.916496
Yemen,-24525.62,2430.112321
Yemen,-24393.8,2317.585893
Yemen,-23384.27,2210.285988
Yemen,-22435.18,2037.548473
Yemen,-20916.35,1931.107583
Yemen,-18186.18,1835.288703
Yemen,-16533.09,1840.142618
Yemen,-14305.16,2279.592335
Yemen,-16083.24,2054.488224
Yemen,-15726.62,1984.233623
Yemen,-18124.03,2145.148085
Guatemala,-5547.673,6347.475543
Guatemala,-7483.085,11627.45602
Guatemala,337.098,10849.07712
Guatemala,6791.095,6382.253883
Guatemala,6647.032,1982.670846
Guatemala,6507.463,13.66554565
Guatemala,-22159.495,10447.60876
Guatemala,-16345.078,5321.521586
Guatemala,-9195.609,33657.40739
Guatemala,-2288.311,38500.10737
Guatemala,-81.266,24141.52778
Guatemala,2522.223,27972.79778
Guatemala,-6889.073,13176.04533
Guatemala,-5544.227,33557.23864
Guatemala,-469.07,16963.35309
Guatemala,3087.581,18824.53309
Guatemala,-271.862,23689.22834
Guatemala,-3186.331,15497.08374
Guatemala,-3138.072,19168.75691
Guatemala,-8744.883,10670.83954
Guatemala,-13287.722,21454.07512
Guatemala,-10977.25,26086.26376
Guatemala,-6309.83,20098.05927
Guatemala,-2367.849,18339.07883
Guatemala,-8498.512,32703.765
Guatemala,-4256.616,39512.05213
Guatemala,-2309.644,37627.88409
Guatemala,760.697,30983.58775
Guatemala,-4444.77,19979.06734
Guatemala,1151.917,25090.18365
Guatemala,10618.729,14691.45718
Guatemala,7067.594,11682.2271
Guatemala,9992.667,3770.410737
Guatemala,8173.259,333.1929579
Guatemala,5642.81,3218.815122
Guatemala,4738.432,5624.282083
Guatemala,3971.661,9961.472846
Guatemala,2849.816,10723.9079
Guatemala,432.096,11075.09673
Guatemala,-404.902,12145.89116
Guatemala,-5249.767,8357.683956
Guatemala,-6902.769,7662.343431
Guatemala,-6882.8,7052.866883
Guatemala,-8485.21,7675.66108
Guatemala,-11209.315,4783.742838
Guatemala,-12722.086,3711.555411
Guatemala,-15669.32,718.0301667
Guatemala,-13646.316,3175.223403
Guatemala,-15735.51,1579.093893
Guatemala,-14767.352,1568.685281
Guatemala,349.94,46504.19834
Guatemala,169.186,46279.71174
Guatemala,190.974,46308.98313
Guatemala,13.034,46208.10728
Guatemala,-64.18,46072.0571
Guatemala,-206.477,45950.35978
Guatemala,826.136,44309.40395
Guatemala,1982.376,42260.92974
Guatemala,309.253,44308.19479
Guatemala,-595.849,45577.23085
Guatemala,-739.9,45342.84616
Guatemala,-755.24,45330.30775
Guatemala,-808.84,45136.83767
Guatemala,-775.675,45218.35153
Guatemala,-822.18,44942.95748
Guatemala,-368.4,44362.26725
Guatemala,-761.643,44792.52617
Guatemala,-552.566,45001.40693
Guatemala,-371.893,45139.96167
Guatemala,-231.372,45381.98028
Guatemala,-115.58,45581.88502
Guatemala,-19.338,45806.83549
Guatemala,50.918,46058.9728
Guatemala,95.653,46202.23687
Guatemala,3244.231,41914.05568
Guatemala,2072.926,43622.57416
Guatemala,77.259,46499.15101
Guatemala,78.688,46483.41506
Guatemala,70.508,46460.03245
Guatemala,-2468.649,42842.33981
Guatemala,-6867.994,36573.45211
Guatemala,-9452.463,32871.37617
