Bean Data Type,Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11,Point 12,Point 13,Point 14,Point 15,Point 16,Point 17,Point 18,Point 19,Point 20,Point 21,Point 22,Point 23,Point 24,Point 25,Point 26,Point 27,Point 28,Point 29,Point 30,Point 31,Point 32,Point 33,Point 34,Point 35,Point 36,Point 37,Point 38,Point 39,Point 40,Point 41,Point 42,Point 43,Point 44,Point 45,Point 46,Point 47,Point 48,Point 49,Point 50
DarkRoastMeanReal,-406.6078,-316.1282,-324.09,-277.457,-252.7418,-216.2842,-183.8176,-152.5494,-114.6274,-83.8864,-45.7818,-29.5286,0.651,23.9788,45.2022,61.3676,68.5474,74.7734,59.5338,40.8056,20.7222,-0.3378,-18.2268,-58.9666,-67.0874,-100.1164,-64.7912,-64.8912,-14.4728,-3.8978,108.8918,146.6792,212.604,259.0674,349.8134,331.0706,275.507,272.963,223.2722,96.9386,-57.1292,-274.8856,-580.1808,-929.3422,-1199.7664,-1706.5082,-1914.3378,-2497.3048,-2688.1488,-3363.4028
DarkRoastStdReal,19.07471792,20.0585261,21.69791304,21.26715576,21.70276863,17.59110801,17.02583807,13.07365721,10.37803066,8.309408993,8.786579342,11.22331133,14.47235676,27.08209022,43.72866345,71.88703679,104.416669,169.4748802,220.4414139,291.9250597,352.9887633,440.2498456,484.5167155,559.7682317,609.4871208,636.194811,656.9589583,697.1690891,764.8241566,800.5189483,888.2657303,926.2596266,1018.276627,1088.388915,1262.725467,1189.469628,1251.73549,1186.608462,1229.742414,1228.98976,1257.903876,1172.637543,1201.917184,1246.244536,1244.345264,1485.736515,1408.596093,1705.881969,1700.750701,2161.464973
DarkRoastMeanImaginary,-284.7934,-318.5686,-286.8046,-277.4292,-250.1118,-217.1592,-205.0058,-171.314,-142.455,-113.5604,-110.1112,-71.2182,-61.1046,-48.5414,-50.5758,-61.187,-68.3476,-95.2062,-109.46,-132.7274,-164.3328,-195.025,-232.1698,-264.8498,-300.8358,-341.6208,-370.717,-412.2574,-441.833,-470.07,-473.8656,-506.0812,-520.8578,-532.4026,-428.2802,-499.5454,-445.2218,-451.3614,-333.8542,-255.0138,-90.9104,72.393,310.5466,564.4984,823.3544,1115.1972,1446.07,1896.8656,2253.8014,2604.3968
DarkRoastStdImaginary,27.29800156,37.47431813,21.97798565,22.95798154,20.09824116,16.85374302,16.72376892,12.3653973,11.47854789,8.49463478,7.070461714,6.294473507,13.7976452,23.23898592,48.90813737,85.49509787,126.3537368,196.6535185,253.1316669,336.7521445,441.2572014,524.7036011,669.7604295,729.2732553,841.4972669,893.1122924,1016.710474,1122.194355,1212.775634,1331.769352,1363.975873,1451.39598,1543.908157,1574.62874,1438.560046,1625.433357,1586.119556,1576.179551,1419.077426,1340.040092,1166.28108,1198.044159,1250.226905,1510.696695,1879.731603,2371.292334,2865.616575,3556.048439,4111.512833,4495.244998
MedRoastMeanReal,-406.6788,-316.6088,-323.894,-275.2684,-249.6516,-216.3044,-181.9824,-151.3708,-112.9308,-83.9816,-44.4364,-28.922,3.44,31.9684,58.376,83.5684,100.1048,123.576,118.95,112.0324,94.2316,91.5552,67.0708,30.588,7.3208,-40.3604,-24.6344,-41.2296,-38.9472,-12.662,45.9612,107.8704,173.4712,226.044,281.574,309.812,349.248,325.226,342.6372,304.974,257.9432,82.0964,-60.584,-260.3532,-558.1604,-771.2308,-1255.462,-1460.9616,-1899.5284,-2032.8576
MedRoastStdReal,17.86528884,17.77282225,21.18900649,20.4729923,21.43603112,17.38677015,18.47817008,14.75900567,10.72197302,7.862331627,8.34271496,12.1525751,16.45279506,28.84400382,46.07606187,77.56395545,113.5432594,191.0884773,244.5867678,329.8245379,407.8883694,509.0778421,573.6962787,648.5105166,711.6697815,710.2482355,727.5873076,727.2293981,762.6560857,730.1910283,771.0202983,758.0235188,795.9897897,845.1334709,945.0323361,917.377426,985.5083085,952.4169227,1003.546687,1011.845737,1032.000658,995.4595596,992.4832841,1004.059459,1008.099651,1110.507221,1141.246335,1246.974849,1268.542812,1517.742117
MedRoastMeanImaginary,-281.7472,-313.6732,-284.8764,-276.158,-251.456,-215.118,-205.482,-171.284,-143.3452,-113.254,-109.772,-70.3604,-60.3056,-49.0884,-54.7044,-72.9136,-85.7372,-137.512,-163.1412,-208.9408,-264.0852,-302.3384,-364.5116,-372.856,-397.32,-386.5272,-375.8576,-343.2184,-296.7252,-239.044,-173.424,-134.7968,-80.9404,-47.6736,23.986,9.3688,31.4176,-18.9124,-9.1876,-66.5548,-92.6036,-257.0072,-355.172,-534.8432,-735.772,-960.9892,-1153.3204,-1346.2356,-1529.3056,-1529.188
MedRoastStdImaginary,26.66706744,34.96911655,22.35897507,23.82715147,21.25434621,17.61332439,17.67024907,13.68814831,12.29131687,8.877333898,6.915971459,6.38545476,15.69624473,28.35159315,58.48793175,103.2036649,152.6629847,241.140572,312.149872,415.7661948,551.0639435,658.378619,840.8802189,923.5860094,1062.148612,1125.167148,1260.113611,1364.157542,1421.240928,1515.528408,1476.441203,1508.760445,1553.516847,1533.44171,1383.16792,1511.246566,1467.724769,1471.555987,1345.933873,1320.869706,1196.042963,1232.638881,1171.955486,1180.189932,1219.330485,1320.639851,1386.535683,1631.845121,1808.496026,1999.762995
LightRoastMeanReal,-405.4268,-314.95,-320.948,-272.3264,-247.6048,-211.788,-177.6584,-148.834,-111.1136,-80.6148,-43.6296,-28.9096,-1.1072,17.4044,34.5764,44.2136,43.5228,33.272,2.9952,-27.4936,-55.174,-85.9432,-129.5176,-214.2396,-244.49,-355.1672,-353.9452,-444.96,-435.68,-486.5156,-405.8864,-434.1304,-383.9808,-351.0452,-330.1888,-258.8592,-341.3756,-241.2052,-265.7196,-278.028,-277.388,-351.5568,-357.654,-420.2168,-572.8412,-625.4276,-905.8796,-940.4468,-1139.3336,-1154.814
LightRoastStdReal,19.67446189,21.74228467,20.98448795,20.70500578,19.7117657,19.56808897,16.99927194,13.60401816,11.83769865,10.86016936,10.6617778,13.37864777,18.99585208,35.9673862,55.29631846,85.53175531,121.9072712,180.1806866,236.463602,303.3153963,359.2611828,457.1420939,499.538613,631.9879879,705.7611525,867.5061266,908.6785356,1064.800551,1162.143531,1257.494137,1330.630599,1334.772142,1364.437899,1322.206839,1453.379368,1250.45376,1194.878864,1021.969783,980.6148592,873.3909147,811.8341971,652.574296,683.5133818,802.906405,1029.446032,1272.525697,1650.987872,1876.77092,2143.389218,2405.011832
