Bean Name,Bean Value
Yemen,1959.704
Yemen,1963.29
Yemen,1951.222
Yemen,1956.824
Yemen,1929.432
Yemen,1956.194
Yemen,1924.31
Yemen,1988.722
Yemen,1977.402
Yemen,1986.712
Yemen,1651.716
Yemen,2087.94
Yemen,2213.566
Yemen,2391.906
Yemen,2230.348
Yemen,2252.298
Yemen,2277.622
Yemen,2325.614
Yemen,2394.546
Yemen,2320.466
Yemen,2216.492
Yemen,2187.72
Yemen,2195.726
Yemen,2224.55
Yemen,2163.476
Yemen,2139.214
Yemen,2194.434
Yemen,2114.646
Yemen,2159.238
Yemen,2195.864
Yemen,1845.498
Yemen,1833.188
Yemen,1825.178
Yemen,1836.946
Yemen,1806.006
Yemen,1820.09
Yemen,1808.638
Yemen,1822.074
Yemen,1809.348
Yemen,1811.376
Yemen,1433.624
Yemen,1467.996
Yemen,1417.946
Yemen,1416.508
Yemen,1404.306
Yemen,1430.184
Yemen,1448.754
Yemen,1417.198
Yemen,1448.858
Yemen,1453.648
Yemen,2780.846
Yemen,2783.03
Yemen,2787.422
Yemen,2803.57
Yemen,2793.138
Yemen,2761.23
Yemen,2818.5
Yemen,2765.186
Yemen,2766.992
Yemen,2764.74
Yemen,658.856
Yemen,646.608
Yemen,679.248
Yemen,628.43
Yemen,681.426
Yemen,712.158
Yemen,659.66
Yemen,659.968
Yemen,709.118
Yemen,680.306
Yemen,2383.684
Yemen,2337.818
Yemen,2210.998
Yemen,2293.758
Yemen,2268.112
Yemen,2417.588
Yemen,2409.848
Yemen,2608.996
Yemen,2323.456
Yemen,2205.202
Yemen,1044.696
Yemen,1038.262
Yemen,1056.674
Yemen,1040.372
Yemen,1035.886
Yemen,1043.222
Yemen,1070.686
Yemen,1019.196
Yemen,1037
Yemen,1038.726
Yemen,1333.152
Yemen,1253.762
Yemen,1206.564
Yemen,1267.08
Yemen,1138.308
Yemen,1262.178
Yemen,1191.642
Yemen,1246.506
Yemen,1310.55
Yemen,1230.078
Yemen,442.924
Yemen,440.644
Yemen,453.118
Yemen,460.496
Yemen,471.264
Yemen,485.794
Yemen,453.71
Yemen,395.936
Yemen,481.818
Yemen,476.98
Yemen,1685.36
Yemen,1724.076
Yemen,1660.068
Yemen,1682.632
Yemen,1692.132
Yemen,1705.234
Yemen,1668.572
Yemen,1695.964
Yemen,1703.964
Yemen,1674.09
Rwanda,1626.526
Rwanda,1546.614
Rwanda,1544.508
Rwanda,1529.842
Rwanda,1567.092
Rwanda,1506.588
Rwanda,1534.282
Rwanda,1538.474
Rwanda,1501.66
Rwanda,1533.412
Rwanda,1447.4
Rwanda,1417.814
Rwanda,1161.76
Rwanda,1441.36
Rwanda,1378.396
Rwanda,1391.48
Rwanda,1393.926
Rwanda,1323.032
Rwanda,1396.08
Rwanda,1390.602
Rwanda,1541.938
Rwanda,1541.334
Rwanda,1502.932
Rwanda,1490.498
Rwanda,1474.226
Rwanda,1447.74
Rwanda,1468.192
Rwanda,1422.992
Rwanda,1432.62
Rwanda,1455.454
Rwanda,412.284
Rwanda,425.83
Rwanda,445.742
Rwanda,431.106
Rwanda,409.04
Rwanda,460.018
Rwanda,448.846
Rwanda,430.16
Rwanda,410.454
Rwanda,417.672
Rwanda,2515.634
Rwanda,2447.902
Rwanda,2401.436
Rwanda,2432.68
Rwanda,2431.12
Rwanda,2422.042
Rwanda,2444.274
Rwanda,2422.046
Rwanda,2434.844
Rwanda,2479.638
Rwanda,2899.77
Rwanda,2841.862
Rwanda,2880.016
Rwanda,2865.062
Rwanda,2856.334
Rwanda,2857.374
Rwanda,2880.16
Rwanda,2821.99
Rwanda,2830.628
Rwanda,2901.288
Rwanda,1773.74
Rwanda,1758.83
Rwanda,1769.952
Rwanda,1751.692
Rwanda,1756.876
Rwanda,1741.868
Rwanda,1761.054
Rwanda,1758.856
Rwanda,1755.598
Rwanda,1761.98
Rwanda,1269.046
Rwanda,1249.072
Rwanda,1242.996
Rwanda,1240.802
Rwanda,1241.658
Rwanda,1244.646
Rwanda,1238.59
Rwanda,1233.608
Rwanda,1240.316
Rwanda,1249.102
Rwanda,1997.012
Rwanda,2161.65
Rwanda,2124.6
Rwanda,1971.092
Rwanda,2218.41
Rwanda,2016.636
Rwanda,1997.854
Rwanda,2106.744
Rwanda,2138.882
Rwanda,2119.288
Rwanda,650.818
Rwanda,674.03
Rwanda,654.98
Rwanda,654.298
Rwanda,649.488
Rwanda,646.134
Rwanda,683.38
Rwanda,645.728
Rwanda,683.826
Rwanda,650.278
Rwanda,1704.578
Rwanda,1586.792
Rwanda,1667.332
Rwanda,1670.742
Rwanda,1667.156
Rwanda,1594.674
Rwanda,1616.786
Rwanda,1534.384
Rwanda,1540.208
Rwanda,1652.59
Rwanda,3700.344
Rwanda,3581.748
Rwanda,3641.394
Rwanda,3729.38
Rwanda,3442.302
Rwanda,3529.254
Rwanda,3885.3
Rwanda,3710.938
Rwanda,3644.932
Rwanda,3704.746
Guatemala,3878.912
Guatemala,3825.612
Guatemala,3884.636
Guatemala,3916.352
Guatemala,3986.956
Guatemala,3685.848
Guatemala,3875.344
Guatemala,3823.356
Guatemala,3734.18
Guatemala,3820.8
Guatemala,2199.142
Guatemala,2000.598
Guatemala,2113.76
Guatemala,2096.584
Guatemala,2112.534
Guatemala,2082.096
Guatemala,2023.952
Guatemala,2054.91
Guatemala,2114.806
Guatemala,2081.026
Guatemala,1414.076
Guatemala,1323.938
Guatemala,1376.36
