Bean Name,Bean Value,Bean Number
Yemen,1959.704,1
Yemen,1963.29,1
Yemen,1951.222,1
Yemen,1956.824,1
Yemen,1929.432,1
Yemen,1956.194,1
Yemen,1924.31,1
Yemen,1988.722,1
Yemen,1977.402,1
Yemen,1986.712,1
Yemen,1651.716,1
Yemen,2087.94,1
Yemen,2213.566,1
Yemen,2391.906,1
Yemen,2230.348,1
Yemen,2252.298,1
Yemen,2277.622,1
Yemen,2325.614,1
Yemen,2394.546,1
Yemen,2320.466,1
Yemen,2216.492,1
Yemen,2187.72,1
Yemen,2195.726,1
Yemen,2224.55,1
Yemen,2163.476,1
Yemen,2139.214,1
Yemen,2194.434,1
Yemen,2114.646,1
Yemen,2159.238,1
Yemen,2195.864,1
Yemen,1845.498,1
Yemen,1833.188,1
Yemen,1825.178,1
Yemen,1836.946,1
Yemen,1806.006,1
Yemen,1820.09,1
Yemen,1808.638,1
Yemen,1822.074,1
Yemen,1809.348,1
Yemen,1811.376,1
Yemen,1433.624,1
Yemen,1467.996,1
Yemen,1417.946,1
Yemen,1416.508,1
Yemen,1404.306,1
Yemen,1430.184,1
Yemen,1448.754,1
Yemen,1417.198,1
Yemen,1448.858,1
Yemen,1453.648,1
Yemen,2780.846,1
Yemen,2783.03,1
Yemen,2787.422,1
Yemen,2803.57,1
Yemen,2793.138,1
Yemen,2761.23,1
Yemen,2818.5,1
Yemen,2765.186,1
Yemen,2766.992,1
Yemen,2764.74,1
Yemen,658.856,1
Yemen,646.608,1
Yemen,679.248,1
Yemen,628.43,1
Yemen,681.426,1
Yemen,712.158,1
Yemen,659.66,1
Yemen,659.968,1
Yemen,709.118,1
Yemen,680.306,1
Yemen,2383.684,1
Yemen,2337.818,1
Yemen,2210.998,1
Yemen,2293.758,1
Yemen,2268.112,1
Yemen,2417.588,1
Yemen,2409.848,1
Yemen,2608.996,1
Yemen,2323.456,1
Yemen,2205.202,1
Yemen,1044.696,1
Yemen,1038.262,1
Yemen,1056.674,1
Yemen,1040.372,1
Yemen,1035.886,1
Yemen,1043.222,1
Yemen,1070.686,1
Yemen,1019.196,1
Yemen,1037,1
Yemen,1038.726,1
Yemen,1333.152,1
Yemen,1253.762,1
Yemen,1206.564,1
Yemen,1267.08,1
Yemen,1138.308,1
Yemen,1262.178,1
Yemen,1191.642,1
Yemen,1246.506,1
Yemen,1310.55,1
Yemen,1230.078,1
Yemen,442.924,1
Yemen,440.644,1
Yemen,453.118,1
Yemen,460.496,1
Yemen,471.264,1
Yemen,485.794,1
Yemen,453.71,1
Yemen,395.936,1
Yemen,481.818,1
Yemen,476.98,1
Yemen,1685.36,1
Yemen,1724.076,1
Yemen,1660.068,1
Yemen,1682.632,1
Yemen,1692.132,1
Yemen,1705.234,1
Yemen,1668.572,1
Yemen,1695.964,1
Yemen,1703.964,1
Yemen,1674.09,1
Rwanda,1626.526,2
Rwanda,1546.614,2
Rwanda,1544.508,2
Rwanda,1529.842,2
Rwanda,1567.092,2
Rwanda,1506.588,2
Rwanda,1534.282,2
Rwanda,1538.474,2
Rwanda,1501.66,2
Rwanda,1533.412,2
Rwanda,1447.4,2
Rwanda,1417.814,2
Rwanda,1161.76,2
Rwanda,1441.36,2
Rwanda,1378.396,2
Rwanda,1391.48,2
Rwanda,1393.926,2
Rwanda,1323.032,2
Rwanda,1396.08,2
Rwanda,1390.602,2
Rwanda,1541.938,2
Rwanda,1541.334,2
Rwanda,1502.932,2
Rwanda,1490.498,2
Rwanda,1474.226,2
Rwanda,1447.74,2
Rwanda,1468.192,2
Rwanda,1422.992,2
Rwanda,1432.62,2
Rwanda,1455.454,2
Rwanda,412.284,2
Rwanda,425.83,2
Rwanda,445.742,2
Rwanda,431.106,2
Rwanda,409.04,2
Rwanda,460.018,2
Rwanda,448.846,2
Rwanda,430.16,2
Rwanda,410.454,2
Rwanda,417.672,2
Rwanda,2515.634,2
Rwanda,2447.902,2
Rwanda,2401.436,2
Rwanda,2432.68,2
Rwanda,2431.12,2
Rwanda,2422.042,2
Rwanda,2444.274,2
Rwanda,2422.046,2
Rwanda,2434.844,2
Rwanda,2479.638,2
Rwanda,2899.77,2
Rwanda,2841.862,2
Rwanda,2880.016,2
Rwanda,2865.062,2
Rwanda,2856.334,2
Rwanda,2857.374,2
Rwanda,2880.16,2
Rwanda,2821.99,2
Rwanda,2830.628,2
Rwanda,2901.288,2
Rwanda,1773.74,2
Rwanda,1758.83,2
Rwanda,1769.952,2
Rwanda,1751.692,2
Rwanda,1756.876,2
Rwanda,1741.868,2
Rwanda,1761.054,2
Rwanda,1758.856,2
Rwanda,1755.598,2
Rwanda,1761.98,2
Rwanda,1269.046,2
Rwanda,1249.072,2
Rwanda,1242.996,2
Rwanda,1240.802,2
Rwanda,1241.658,2
Rwanda,1244.646,2
Rwanda,1238.59,2
Rwanda,1233.608,2
Rwanda,1240.316,2
Rwanda,1249.102,2
Rwanda,1997.012,2
Rwanda,2161.65,2
Rwanda,2124.6,2
Rwanda,1971.092,2
